"wave","EIrrad"
767,1.22942696751774
768,1.22875750886149
769,1.22809833935149
770,1.22061545370795
771,1.22979548892495
772,1.23078326503429
773,1.14351914496247
774,1.21999861879889
775,1.08762479593059
776,1.21679874707508
777,1.21997186743399
778,1.21114628760622
779,1.22095563591819
780,1.11802612854711
781,1.09235577156169
782,1.20998549486917
783,1.21213254067482
784,1.1991457373519
785,1.20861744271666
786,1.20001132661629
787,1.19939608715966
788,1.18236843905953
789,1.18225539085773
790,1.1825189824799
791,1.19182512979134
792,1.1091785307541
793,1.16892010647229
794,1.1016281349044
795,1.15475389327237
796,1.15773348411142
797,1.14156114126881
798,1.16466524683198
799,1.12053168977832
800,1.15
801,1.140224967171
802,1.13153638360662
803,1.07671616070901
804,1.14260140601046
805,1.07703483381525
806,1.1399814294061
807,1.13096731734611
808,1.13018587133529
809,1.11974891109942
810,1.05694710426105
811,1.12222629284683
812,1.11001922069339
813,1.11024898591874
814,1.11000041101173
815,1.10968385446674
816,1.09999739967804
817,1.09008995234055
818,1.08962584915737
819,1.06997299555338
820,1.06140508730009
821,1.0599662258621
822,1.0931429200057
823,1.09044406410809
824,1.05911541854581
825,1.03913839801178
826,1.07587291042145
827,1.07998505750269
828,1.07742524146084
829,1.06992447195283
830,1.06153088191947
831,1.03010728655725
832,1.05021202003107
833,0.974693411444603
834,1.04565625482261
835,1.01911411758327
836,1.05027114504237
837,1.05234729135403
838,1.03983744747726
839,0.953947033813113
840,1.02975397005978
841,1.05099189195546
842,1.01548946853869
843,1.02520492130012
844,1.01093574434667
845,1.00494233592855
846,1.01338412612969
847,0.9581745627843
848,1.03005246741379
849,1.03092539227745
850,0.724118463607817
851,1.02004625339491
852,1.00970397115783
853,0.960319699883419
854,0.885665898008858
855,0.926740564872873
856,0.978209810665108
857,1.01005948207436
858,0.999927065418547
859,0.97725424605987
860,0.964709966697
861,0.986974433222652
862,0.975044078572723
863,0.995585758131967
864,0.996051669535136
865,0.955823741901723
866,0.913471895466519
867,0.918657941012014
868,0.973153428982387
869,0.864172940996243
