"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20"
0.00285216,0.000268341,0.000884103,6.40156e-06,4.06986e-06,1.66611e-06,3.77698e-06,2.43155e-05,3.24951e-05,3.06696e-05,1.74698e-05,0.0262274,3.13579e-05,0.00135005,0.000708095,0.0321479,0.00320507,3.04786e-06,0.726977,0.482024
0.00410756,0.000804332,0.00158325,4.37652e-06,4.08331e-06,2.31547e-06,6.85114e-06,2.64002e-05,2.22679e-05,4.14531e-05,1.92118e-05,0.0313244,3.05525e-05,0.00182792,0.000165368,0.0426703,0.00443914,1.42234e-05,0.679636,0.628519
0.00885956,0.000804332,0.00262217,3.70744e-06,4.9326e-06,2.31758e-06,2.88844e-06,2.8971e-05,7.32408e-06,2.07656e-05,1.89563e-05,0.0373512,3.63044e-05,0.00264805,0.000157495,0.0708867,0.0062634,9.85475e-05,0.68286,0.810956
0.00885956,0.00195755,0.00815978,3.229e-06,5.2556e-06,1.7704e-06,3.24735e-06,3.94092e-05,1.46105e-05,4.43926e-05,2.29473e-05,0.0444354,3.6603e-05,0.00450824,0.000211702,0.0937679,0.00886922,0.000602461,0.805588,0.963823
0.0271083,0.00195755,0.0308496,2.21215e-06,4.39457e-06,1.09739e-06,3.89015e-06,2.03843e-05,1.64461e-05,5.20875e-05,1.81282e-05,0.0525043,3.37955e-05,0.0086487,0.000230279,0.154784,0.0131824,0.00149752,0.746249,1
0.0271083,0.0056237,0.0950109,4.51826e-06,7.76093e-06,1.49962e-06,3.26393e-06,4.65194e-05,2.5623e-05,5.33642e-05,7.29087e-05,0.0620243,2.81703e-05,0.0178435,0.000190836,0.200808,0.0194619,0.00255411,0.531392,0.997915
0.0791932,0.0199953,0.209827,5.39608e-06,1.70601e-06,1.85525e-06,1.70343e-06,2.29481e-05,1.02202e-05,4.5237e-05,7.31771e-05,0.0726774,3.48734e-05,0.0404898,0.000251823,0.313708,0.0293144,0.00315657,0.441311,0.993775
0.183004,0.0199953,0.209827,1.30375e-05,2.59915e-05,0.000118104,1.37242e-05,3.02174e-05,2.05514e-05,7.60968e-05,7.8989e-05,0.0852112,3.86967e-05,0.101683,0.000359112,0.383924,0.0448646,0.00706915,0.932612,0.974399
0.183004,0.0710626,0.373967,5.43904e-05,0.000186616,0.000433429,9.71532e-05,8.64418e-05,3.29473e-05,0.000122853,8.23559e-05,0.0993051,7.11105e-05,0.239842,0.000404363,0.527227,0.0695292,0.012228,1,0.900225
0.356889,0.0710626,0.583985,0.00011938,0.000277324,0.000599286,7.85518e-05,5.40218e-05,0.00012702,0.000142052,7.84849e-05,0.114728,7.32704e-05,0.449592,0.000542797,0.596294,0.107236,0.0228684,0.905185,0.719177
0.356889,0.183156,0.796494,4.6168e-05,0.000537109,0.00194776,0.000122973,3.98884e-05,6.66067e-05,0.000140011,8.58026e-05,0.131173,0.000150153,0.691881,0.000723888,0.729626,0.17026,0.0475944,0.439771,0.455352
0.596681,0.361062,0.944913,5.27517e-05,0.000703897,0.00196638,0.000137561,2.01502e-05,0.000143044,0.000202883,4.97788e-05,0.149166,0.000235526,0.87658,0.000938826,0.785996,0.26826,0.104812,0.210328,0.206819
0.806388,0.361062,0.987884,4.49711e-05,0.000958785,0.00239308,0.000140754,1.2825e-05,2.74665e-05,0.000110726,4.01012e-05,0.168429,0.00037673,0.975988,0.00149662,0.871779,0.382627,0.227107,0.0856633,0.0825571
0.806388,0.582582,0.99998,7.52882e-05,0.000428901,0.00152298,4.17003e-05,5.30665e-05,2.5788e-05,6.57205e-05,6.36777e-05,0.189615,0.000182532,1,0.00251636,0.899536,0.532063,0.441891,0.0107264,0.0318704
0.911347,0.582582,1,7.49586e-05,0.00507117,0.00495385,0.000123478,6.64596e-05,4.1701e-05,0.000155889,6.87106e-05,0.211576,0.00103705,0.969344,0.00489088,0.947142,0.687942,0.693499,0.00479769,0.00867226
0.911347,0.797048,0.984551,0.000104318,0.0013325,0.000302361,5.23312e-05,4.01264e-05,4.28783e-05,0.000109906,9.20109e-05,0.235176,0.00105425,0.901278,0.0115476,0.966143,0.82486,0.894021,0.00235889,0.00189406
