"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"gc",0.643109977245331,0.639919996261597,0.636650025844574,0.631850004196167,0.630739986896515,0.631070017814636,0.631439983844757,0.631959974765778,0.632279992103577,0.63375997543335,0.641969978809357,0.654810011386871,0.731500029563904
"a0P",6.77524566650391,6.79344701766968,6.7969651222229,6.78102922439575,6.75596189498901,6.71082639694214,6.66256904602051,6.60479497909546,6.56992197036743,6.43070411682129,5.84447860717773,5.53496026992798,4.64102935791016
"a1P",-0.191084325313568,-0.191004380583763,-0.190215066075325,-0.188632979989052,-0.187429681420326,-0.185599446296692,-0.183663457632065,-0.181369453668594,-0.179968655109406,-0.175105646252632,-0.154605552554131,-0.146541565656662,-0.130092114210129
"a2P",0.00209356774576008,0.00208589225076139,0.0020667570643127,0.00203754217363894,0.00201879185624421,0.00199190713465214,0.00196375325322151,0.00193049688823521,0.00191005005035549,0.00184550625272095,0.00157277774997056,0.00148971914313734,0.00140260288026184
"a3P",-1.03287084129988e-05,-1.02513877209276e-05,-1.00957613540231e-05,-9.88876035989961e-06,-9.76606861513574e-06,-9.59531826083548e-06,-9.41777125262888e-06,-9.20841739571188e-06,-9.07906360225752e-06,-8.69946143211564e-06,-7.09183996150387e-06,-6.6938027885044e-06,-6.69094015393057e-06
"a4P",1.94650002782737e-08,1.92339992821644e-08,1.88070004014662e-08,1.82939992043885e-08,1.80029999796716e-08,1.76060002132772e-08,1.71949992022746e-08,1.67110005833138e-08,1.64110005584917e-08,1.55860000461416e-08,1.20879999343515e-08,1.13330003159717e-08,1.1972000280025e-08
"Rest1",-0.00508899986743927,-0.00300900009460747,-0.00112100003752857,-0.000163000004249625,-3.89999986509793e-05,4.60000010207295e-05,6.90000015310943e-05,5.40000000910368e-05,2.80000003840541e-05,0.000230000005103648,9.30000023799948e-05,-0.000118000003567431,-0.00017699999443721
"Rest2",-0.0087270000949502,-0.00628199987113476,-0.00405200012028217,-0.00212899991311133,-0.00160099996719509,-0.00163499999325722,-0.00150699994992465,-0.00122800003737211,-0.000945999985560775,-0.00176699995063245,-0.00132999999914318,-0.000816999992821366,-0.00020599999697879
"Rest3",-0.00792399980127811,-0.00653599994257092,-0.00490200007334352,-0.00323499995283782,-0.00254300003871322,-0.00236900011077523,-0.00201799999922514,-0.00150000001303852,-0.000952999980654567,-0.00270300009287894,-0.00373400002717972,-0.00295699993148446,-0.000108000000182074
"Rest4",-0.0011170000070706,-0.00107400002889335,-0.000996000017039478,-0.00106000003870577,-0.000987999956123531,-0.00093500001821667,-0.000783000024966896,-0.000523999973665923,-0.000201999995624647,-0.00142600003164262,-0.00365300010889769,-0.00327600003220141,0.0028180000372231
"Resr1",-0.0141759999096394,-0.00618800008669496,-0.00209000008180737,-0.00052300002425909,-0.000338000012561679,-0.000241999994614162,-0.000167000005603768,-0.000102999998489395,-7.30000028852373e-05,-4.50000006821938e-05,-7.00000009601354e-06,0.000148999999510124,8.09999983175658e-05
"Resr2",0.026851000264287,0.0123950000852346,0.0036510000936687,0.000236000007134862,-1.40000001920271e-05,-1.59999999596039e-05,-2.80000003840541e-05,-0.000172999993083067,-0.000224999996135011,1.10000000859145e-05,0.00141100003384054,-0.166023999452591,-0.305588006973267
"Resr3",0.0206170007586479,0.0230100005865097,0.0236959997564554,0.0228070002049208,0.0213879998773336,0.0208410006016493,0.0187289994210005,0.0184669997543097,0.0143470000475645,0.0147540001198649,-0.0975899994373322,31.8325119018555,196.911544799805
"Resa1",-0.00406600022688508,-0.0037370000500232,-0.00322000007145107,-0.00256299995817244,-0.00231899996288121,-0.00209000008180737,-0.00185999996028841,-0.00162500003352761,-0.00147999997716397,-0.00120900000911206,-0.000487000012071803,-0.000330999988364056,-0.000130000000353903
"Resa2",-0.0127469999715686,-0.0131149999797344,-0.0134530002251267,-0.0133250001817942,-0.0131900003179908,-0.0130359996110201,-0.0128229996189475,-0.0125179998576641,-0.0123009998351336,-0.0116140004247427,-0.00867199990898371,-0.00788599997758865,-0.00651300000026822
"Resa3",-0.0121550001204014,-0.0141249997541308,-0.0166040007025003,-0.0201699994504452,-0.021059000864625,-0.021764999255538,-0.0224419999867678,-0.0231449995189905,-0.02347999997437,-0.0242749992758036,-0.0252490006387234,-0.0279729999601841,-0.0502110011875629
"Resa4",-0.00390700018033385,-0.00504099996760488,-0.0068270000629127,-0.0101570002734661,-0.0113740004599094,-0.0125369997695088,-0.0138699999079108,-0.0155199998989701,-0.0166209992021322,-0.0191939994692802,-0.0321419984102249,-0.0437939986586571,-0.125588998198509
