"V1","V2","V3","V4","V5"
0,3.49e-06,0,1.7e-06,0
0,3.43e-06,0,1.53e-06,0
0,3.4e-06,0,1.34e-06,0
0,3.36e-06,0,1.19e-06,0
0,3.33e-06,0,1.06e-06,0
0,3.28e-06,0,9.74e-07,0
0,3.24e-06,0,8.73e-07,0
0,3.22e-06,0,8.02e-07,0
0,3.22e-06,0,7.07e-07,0
0,3.16e-06,0,6.3e-07,0
0,3.16e-06,0,6.12e-07,0
0,3.19e-06,0,5.4e-07,2.35e-06
0,3.26e-06,0,4.38e-07,4.53e-06
0,3.28e-06,0,3.34e-07,4.61e-06
0,3.39e-06,0,2.44e-07,2.35e-06
0,3.49e-06,0,2.26e-07,3.45e-06
0,3.71e-06,0,2e-07,4.46e-06
0,3.89e-06,0,1.43e-07,5.54e-06
0,4.13e-06,0,1.46e-07,5.06e-06
0,4.42e-06,0,8.91e-08,4.21e-06
0,4.82e-06,0,9.56e-08,4.11e-06
0,5.25e-06,0,1.43e-07,3.2e-06
0,5.75e-06,0,2.26e-07,1.76e-06
0,6.32e-06,0,3.11e-07,7.58e-07
0,6.88e-06,0,4.51e-07,1.85e-06
0,7.55e-06,0,7.19e-07,1.68e-06
0,8.08e-06,0,9.92e-07,2.7e-06
0,8.59e-06,0,1.31e-06,4.79e-06
0,9.12e-06,0,1.72e-06,7.15e-06
0,9.61e-06,0,2.18e-06,4.96e-06
0,1.03e-05,0,2.39e-06,1.85e-06
0,1.13e-05,0,2.52e-06,1.85e-06
0,1.29e-05,0,2.65e-06,6.8e-06
0,1.53e-05,0,2.93e-06,8.41e-06
0,1.91e-05,0,3.01e-06,1e-05
0,2.46e-05,0,3.17e-06,1.06e-05
0,3.15e-05,0,3.52e-06,1.22e-05
0,3.93e-05,0,4.25e-06,1.34e-05
0,4.66e-05,0,5.38e-06,1.74e-05
0,5.36e-05,0,7.07e-06,2.17e-05
0,5.9e-05,0,9.27e-06,2.55e-05
0,6.35e-05,0,1.16e-05,1.98e-05
0,6.78e-05,0,1.37e-05,3.66e-05
0,6.99e-05,0,1.53e-05,4.13e-05
0,7.21e-05,0,1.64e-05,4.74e-05
0,7.39e-05,0,1.7e-05,5.83e-05
0,7.59e-05,0,1.72e-05,7.1e-05
0,7.42e-05,0,1.72e-05,6.61e-05
0,7.48e-05,0,1.7e-05,6.37e-05
0,7.51e-05,0,1.69e-05,7.83e-05
0,7.32e-05,0,1.69e-05,7.92e-05
0,6.99e-05,0,1.67e-05,7.87e-05
0,6.71e-05,0,1.66e-05,8.46e-05
0,6.35e-05,0,1.65e-05,8.8e-05
0,6.09e-05,0,1.64e-05,0.000105
0,5.79e-05,0,1.62e-05,0.000117
0,5.46e-05,0,1.59e-05,0.000127
0,5.15e-05,0,1.56e-05,0.000132
0,4.85e-05,0,1.53e-05,0.000135
0,4.57e-05,0,1.48e-05,0.000129
0,4.31e-05,0,1.46e-05,0.000132
0,4.1e-05,0,1.44e-05,0.00014
0,3.88e-05,0,1.42e-05,0.000132
0,3.63e-05,0,1.4e-05,0.000127
0,3.49e-05,0,1.4e-05,0.000137
0,3.3e-05,0,1.39e-05,0.000129
0,3.15e-05,0,1.38e-05,0.000129
0,3e-05,0,1.37e-05,0.000129
0,2.85e-05,0,1.37e-05,0.00012
0,2.73e-05,0,1.37e-05,0.00012
0,2.6e-05,0,1.35e-05,0.000124
0,2.49e-05,0,1.34e-05,0.000127
0,2.42e-05,0,1.34e-05,0.000135
0,2.32e-05,0,1.32e-05,0.000132
0,2.25e-05,0,1.29e-05,0.000132
0,2.17e-05,0,1.27e-05,0.000132
0,2.1e-05,0,1.23e-05,0.000127
0,2.06e-05,0,1.19e-05,0.000135
0,2e-05,0,1.16e-05,0.000127
0,1.95e-05,0,1.13e-05,0.000127
0,1.91e-05,0,1.12e-05,0.000122
0,1.87e-05,0,1.1e-05,0.000124
0,1.83e-05,0,1.1e-05,0.000124
0,1.81e-05,0,1.1e-05,0.000129
0,1.79e-05,0,1.1e-05,0.000127
0,1.75e-05,0,1.1e-05,0.000114
0,1.71e-05,0,1.12e-05,0.000122
0,1.7e-05,0,1.16e-05,0.00012
0,1.69e-05,0,1.21e-05,0.000122
0,1.65e-05,0,1.27e-05,0.000122
0,1.64e-05,0,1.32e-05,0.000127
0,1.63e-05,0,1.38e-05,0.000142
0,1.62e-05,0,1.42e-05,0.000147
0,1.61e-05,0,1.47e-05,0.000167
0,1.61e-05,0,1.53e-05,0.000185
0,1.61e-05,0,1.61e-05,0.000205
0,1.61e-05,0,1.67e-05,0.000223
0,1.61e-05,0,1.75e-05,0.000243
0,1.62e-05,0,1.82e-05,0.000252
0,1.63e-05,0,1.89e-05,0.00025
0,1.65e-05,0,1.93e-05,0.000262
0,1.69e-05,0,1.94e-05,0.00027
0,1.71e-05,0,1.94e-05,0.000272
0,1.76e-05,0,1.9e-05,0.000282
0,1.82e-05,0,1.86e-05,0.000272
0,1.87e-05,0,1.85e-05,0.000272
0,1.95e-05,0,1.85e-05,0.000262
0,2e-05,0,1.83e-05,0.00026
0,2.1e-05,0,1.81e-05,0.00026
0,2.17e-05,0,1.77e-05,0.000248
0,2.25e-05,0,1.72e-05,0.00025
0,2.32e-05,0,1.69e-05,0.000233
0,2.38e-05,0,1.67e-05,0.00022
0,2.42e-05,0,1.64e-05,0.000213
0,2.46e-05,0,1.6e-05,0.00021
0,2.47e-05,0,1.57e-05,2e-04
0,2.47e-05,0,1.54e-05,0.000192
0,2.47e-05,0,1.54e-05,0.00019
0,2.46e-05,0,1.54e-05,0.000182
0,2.46e-05,0,1.53e-05,0.00018
0,2.46e-05,0,1.53e-05,0.00018
0,2.46e-05,0,1.51e-05,0.00018
0,2.49e-05,0,1.48e-05,0.000175
0,2.49e-05,0,1.48e-05,0.00017
0,2.55e-05,0,1.44e-05,0.000167
0,2.64e-05,0,1.42e-05,0.000157
0,2.76e-05,0,1.39e-05,0.000152
0,2.94e-05,0,1.37e-05,0.000152
0,3.24e-05,0,1.34e-05,0.00015
0,3.62e-05,0,1.35e-05,0.000142
0,4.18e-05,0,1.37e-05,0.000155
0,5.08e-05,0,1.38e-05,0.000147
0,6.5e-05,0,1.41e-05,0.000145
0,8.38e-05,0,1.44e-05,0.00015
0,0.000113,0,1.5e-05,0.000167
0,0.000147,0,1.59e-05,0.00019
0,0.000176,0,1.72e-05,0.000218
0,0.000217,0,1.86e-05,0.000248
0,0.000259,0,1.99e-05,0.00031
0,0.000294,0,2.11e-05,0.00037
0,0.000319,0,2.19e-05,0.000434
0,0.000328,0,2.25e-05,0.000469
0,0.000333,0,2.28e-05,0.00052
0,0.000339,0,2.31e-05,0.000559
0,0.000339,0,2.32e-05,0.000583
0,0.000326,0,2.31e-05,0.000588
0,0.000328,0,2.31e-05,0.000603
0,0.000315,0,2.32e-05,0.000622
0,0.000309,0,2.33e-05,0.000622
0,0.000296,0,2.32e-05,0.000622
0,0.00029,0,2.31e-05,0.000637
0,0.000273,0,2.32e-05,0.000617
0,0.000249,0,2.34e-05,0.000627
0,0.000234,0,2.39e-05,0.000627
0,0.00022,0,2.42e-05,0.000617
0,0.000209,0,2.48e-05,0.000603
0,0.000199,0,2.57e-05,0.000612
0,0.000187,0,2.7e-05,0.000608
0,0.00018,0,2.86e-05,0.000603
0,0.00017,0,3.05e-05,0.000603
0,0.000164,0,3.28e-05,0.000588
0,0.000156,0,3.55e-05,0.000617
0,0.000151,0,3.87e-05,0.000627
0,0.000144,0,4.19e-05,0.000651
0,0.000139,0,4.53e-05,0.00069
0,0.000134,0,4.87e-05,0.000749
0,0.000129,0,5.19e-05,0.000812
0,0.000125,0,5.49e-05,0.00086
0,0.000121,0,5.78e-05,0.000909
0,0.000116,0,6e-05,0.000933
0,0.000108,0,6.24e-05,0.000924
0,9.95e-05,0,6.47e-05,0.000899
0,9.42e-05,0,6.65e-05,0.00087
0,9.02e-05,0,6.77e-05,0.000846
0,8.72e-05,0,6.89e-05,0.000851
0,8.26e-05,0,7.07e-05,0.000841
0,7.89e-05,0,7.13e-05,0.000841
0,7.65e-05,0,7.19e-05,0.000851
0,7.29e-05,0,7.25e-05,0.000846
0,7.01e-05,0,7.25e-05,0.00086
0,6.76e-05,0,7.25e-05,0.000865
0,6.5e-05,0,7.25e-05,0.00086
0,6.33e-05,0,7.25e-05,0.00088
0,6.15e-05,0,7.19e-05,0.000894
0,5.9e-05,0,7.19e-05,0.000919
0,5.76e-05,0,7.07e-05,0.000948
0,5.66e-05,0,7.07e-05,0.000996
0,5.51e-05,0,6.95e-05,0.001021
0,5.36e-05,0,6.83e-05,0.00105
0,5.28e-05,0,6.71e-05,0.001074
0,5.21e-05,0,6.59e-05,0.001099
0,5.15e-05,0,6.53e-05,0.001118
0,5.12e-05,0,6.36e-05,0.001123
0,5.02e-05,0,6.3e-05,0.001118
0,4.99e-05,0,6.18e-05,0.001094
0,4.93e-05,0,6.06e-05,0.001089
0,4.89e-05,0,6e-05,0.001084
0,4.87e-05,0,5.87e-05,0.001064
0,4.87e-05,0,5.8e-05,0.00106
0,4.82e-05,0,5.75e-05,0.00103
0,4.83e-05,0,5.69e-05,0.001011
0,4.78e-05,0,5.74e-05,0.000977
0,4.82e-05,0,5.88e-05,0.000962
0,4.82e-05,0,6.06e-05,0.000943
0,4.83e-05,0,6.3e-05,0.000958
0,4.87e-05,0,6.65e-05,0.000982
0,4.96e-05,0,7.01e-05,0.001026
0,4.99e-05,0,7.42e-05,0.001084
0,5.03e-05,0,7.9e-05,0.001152
0,5.08e-05,0,8.32e-05,0.001225
0,5.16e-05,0,8.67e-05,0.001293
0,5.22e-05,0,8.97e-05,0.001376
0,5.36e-05,0,9.15e-05,0.001424
0,5.49e-05,0,9.32e-05,0.001468
0,5.62e-05,0,9.44e-05,0.001521
0,5.79e-05,0,9.74e-05,0.001565
0,5.85e-05,0,1e-04,0.001589
0,5.98e-05,0,0.000102,0.001609
0,6.24e-05,0,0.000102,0.001628
0,6.45e-05,0,0.000102,0.001619
0,6.59e-05,0,0.000102,0.001594
0,6.89e-05,0,0.000102,0.00158
0,7.23e-05,0,0.000102,0.001565
0,7.39e-05,0,0.000102,0.001546
0,7.69e-05,0,0.000103,0.001555
0,8.08e-05,0,0.000103,0.001555
0,8.22e-05,0,0.000103,0.001555
0,8.62e-05,0,0.000103,0.00157
0,8.98e-05,0,0.000103,0.001541
0,9.59e-05,0,0.000102,0.001541
0,9.59e-05,0,1e-04,0.001512
0,9.89e-05,0,1e-04,0.001483
0,0.000105,0,1e-04,0.001458
0,0.00012,0,9.92e-05,0.001463
0,0.000123,0,9.92e-05,0.001439
0,0.000126,0,9.86e-05,0.001424
0,0.000131,0,9.74e-05,0.001439
0,0.000131,0,9.74e-05,0.001385
0,0.000139,0,9.86e-05,0.001458
0,0.000141,0,9.92e-05,0.001458
0,0.000143,0,1e-04,0.001453
0,0.000146,0,0.000103,0.001458
0,0.000156,0,0.000105,0.001517
0,0.000155,0,0.000109,0.001507
0,0.000161,0,0.000113,0.001551
0,0.000164,0,0.000118,0.001589
0,0.000171,0,0.000124,0.001643
0,0.000185,0,0.000129,0.001755
0,0.000185,0,0.000134,0.001769
0,0.000191,0,0.000139,0.001842
0,2e-04,0,0.000141,0.001876
0,0.00021,0,0.000147,0.001881
0,0.000217,0,0.000151,0.001862
0,0.000217,0,0.000153,0.001808
0,0.000217,0,0.000154,0.001886
0,0.000255,0,0.000154,0.00192
0,0.000262,0,0.000153,0.001881
0,0.000264,0,0.00015,0.001832
