"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
0.00458043580874801,0.0157749373465776,0.00400888035073876,0.000196320106624626,0.000386645639082417,0.000185471406439319,0.119684688746929,0.47956383228302,0.0131372325122356,0.0132634649053216,0.0635525584220886,0.491430222988129,0.977876901626587,0.0171432625502348,0.0176892150193453,0.0179120227694511,0.0173095613718033,0.0178276281803846,0.0165150836110115,0.0160432755947113,0.00457639433443546
0.0061250077560544,0.0212545841932297,0.00540338968858123,0.000253299745963886,0.000506780226714909,0.000239404558669776,0.156701177358627,0.56899905204773,0.017954409122467,0.0180843975394964,0.0823923796415329,0.583316802978516,0.97297739982605,0.0227136686444283,0.0235062669962645,0.0238495338708162,0.0230820141732693,0.0237993523478508,0.0220930781215429,0.0215437412261963,0.00611839583143592
0.00813140720129013,0.028341818600893,0.00722883408889175,0.000325653905747458,0.000661392870824784,0.000307931186398491,0.201054155826569,0.655355215072632,0.0242859814316034,0.0244133118540049,0.104987785220146,0.671606063842773,0.962386727333069,0.0298261381685734,0.0309348870068789,0.0314321331679821,0.0304643269628286,0.0314424857497215,0.0292538218200207,0.028633389621973,0.00812121760100126
0.010716206394136,0.0373934842646122,0.00959838088601828,0.000417189294239506,0.00085947650950402,0.000394677772419527,0.252710610628128,0.734054923057556,0.0325047262012959,0.0326219834387302,0.13143102824688,0.751330554485321,0.952608585357666,0.0388053059577942,0.0403076224029064,0.0409943796694279,0.0397868007421494,0.0411007776856422,0.0383322462439537,0.037657156586647,0.0107012102380395
0.0140181165188551,0.0488040186464787,0.0126478727906942,0.000532558711711317,0.00111209833994508,0.000504085386637598,0.311112016439438,0.801639974117279,0.0430348254740238,0.0431341454386711,0.16159962117672,0.818788051605225,0.948985278606415,0.050007488578558,0.0519854314625263,0.0528969168663025,0.0514065958559513,0.0531459450721741,0.0496936291456223,0.0489938072860241,0.0139966821298003
0.0181994661688805,0.0629941821098328,0.0165380239486694,0.000677425181493163,0.00143280741758645,0.000641560414806008,0.37511682510376,0.856325745582581,0.0563431195914745,0.0564179793000221,0.195118427276611,0.872215628623962,0.948616981506348,0.063810832798481,0.0663461908698082,0.0675144717097282,0.0656952187418938,0.0679646283388138,0.0637231841683388,0.0630447268486023,0.018169466406107
0.0234472434967756,0.0803945958614349,0.021455891430378,0.000858649495057762,0.0018380805850029,0.000813654973171651,0.443019568920136,0.89821058511734,0.072924017906189,0.0729698911309242,0.231351479887962,0.911978662014008,0.944304287433624,0.0806000381708145,0.0837685912847519,0.0852183476090431,0.0830233916640282,0.0859413966536522,0.0808095410466194,0.0802172273397446,0.0234061162918806
0.029973017051816,0.101421549916267,0.0276152696460485,0.00108450837433338,0.00234783627092838,0.00102828652597964,0.512651324272156,0.928949654102325,0.0932749807834625,0.0932920277118683,0.26943239569664,0.940172493457794,0.934154689311981,0.100747406482697,0.104610852897167,0.10635469853878,0.103738270699978,0.107435822486877,0.101322874426842,0.100902110338211,0.0299174170941114
0.0380110628902912,0.126448482275009,0.0352559871971607,0.0013649333268404,0.00298601831309497,0.00129496760200709,0.58158552646637,0.951063215732575,0.117863923311234,0.117858871817589,0.308325797319412,0.959799408912659,0.924063622951508,0.124585226178169,0.129184231162071,0.131218776106834,0.128137946128845,0.132755383849144,0.125589549541473,0.125446230173111,0.0379369482398033
0.0478152632713318,0.155771091580391,0.0446407832205296,0.00171180069446564,0.00378121016547084,0.00162508490029722,0.647376656532288,0.967126905918121,0.147091537714005,0.147077962756157,0.346918314695358,0.973772883415222,0.919799029827118,0.152371361851692,0.157724648714066,0.160025879740715,0.15644408762455,0.162126243114471,0.153861299157143,0.154119223356247,0.0477174371480942
0.0596529394388199,0.189571306109428,0.0560506246984005,0.00213922234252095,0.00476732803508639,0.0020321982447058,0.707851648330689,0.979113698005676,0.181241601705551,0.1812424659729,0.38412082195282,0.984166204929352,0.919343531131744,0.184261754155159,0.190362706780434,0.192881926894188,0.188771992921829,0.195662513375282,0.186285719275475,0.187080353498459,0.0595254898071289
0.0737971886992455,0.227879852056503,0.0697764977812767,0.00266389804892242,0.00598430167883635,0.00253237667493522,0.761370778083801,0.988076508045197,0.220435231924057,0.220482736825943,0.418991297483444,0.991891741752625,0.915648221969605,0.220287352800369,0.227096349000931,0.229758039116859,0.225106135010719,0.23333752155304,0.222873866558075,0.224346518516541,0.0736328735947609
0.0905162394046783,0.270546436309814,0.0861089527606964,0.00330549152567983,0.00747880898416042,0.00314455269835889,0.807000756263733,0.994333028793335,0.264586329460144,0.264718919992447,0.450815767049789,0.996996164321899,0.906033575534821,0.260322153568268,0.267764359712601,0.270465463399887,0.265273302793503,0.274962902069092,0.263477236032486,0.265762954950333,0.0903065875172615
0.110059902071953,0.317215174436569,0.10532496124506,0.00408701784908772,0.00930496212095022,0.00389093416742981,0.844564616680145,0.997865796089172,0.313363909721375,0.31362584233284,0.479178071022034,0.999167084693909,0.895718693733215,0.304064124822617,0.312034338712692,0.314646810293198,0.308933705091476,0.320169657468796,0.307770580053329,0.310984164476395,0.109795317053795
0.132643610239029,0.367315858602524,0.127671226859093,0.00503527512773871,0.011525085195899,0.00479742046445608,0.874585211277008,0.998840272426605,0.366171658039093,0.366608172655106,0.503950715065002,0.998447000980377,0.890812873840332,0.351033329963684,0.3593969643116,0.361770659685135,0.35557746887207,0.368411779403687,0.355241805315018,0.359466016292572,0.132314220070839
0.158434718847275,0.420076280832291,0.153346389532089,0.00618131598457694,0.0142102390527725,0.00589405745267868,0.89809387922287,0.997897863388062,0.422150880098343,0.422801971435547,0.525283098220825,0.99552196264267,0.89019113779068,0.400572299957275,0.409174233675003,0.411144822835922,0.404530733823776,0.418976008892059,0.405206590890884,0.410478204488754,0.158028841018677
