"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.9166042040256e-310,0.903975503,6.91660420404141e-310,6.91660420404932e-310,6.91660420405723e-310,6.91660420406513e-310,6.91660420407304e-310,0.738324031,6.91660420408885e-310,6.91660420409675e-310,0.636158996,0.983920166,0.926912882
6.91660420412837e-310,0.919580552,6.91660420374419e-310,6.91660420375209e-310,6.91660420376e-310,6.9166042037679e-310,6.91660420377581e-310,0.750210769,6.91660420379162e-310,6.91660420379952e-310,0.498288066,0.983372624,0.933094888
6.91660420383114e-310,0.946712663,6.91660420384695e-310,6.91660420385486e-310,6.91660420386276e-310,6.91660420387067e-310,6.91660420387857e-310,0.761800392,6.91660420389438e-310,6.91660420390229e-310,0.349944188,0.981458796,0.938438355
6.91660420353391e-310,0.969406608,6.91660420354972e-310,6.91660420355763e-310,6.91660420356553e-310,6.91660420357344e-310,6.91660420358134e-310,0.769900245,6.91660420359715e-310,6.91660420360506e-310,0.21325372,0.979391949,0.943377038
6.91660420363668e-310,0.993636046,6.91660420365249e-310,6.91660420366039e-310,6.9166042036683e-310,6.9166042036762e-310,6.91660420368411e-310,0.781725199,6.91660420369992e-310,6.91660420370782e-310,0.110112562,0.978058392,0.945579227
6.91660420333945e-310,0.999320649,6.91660420335526e-310,6.91660420336316e-310,6.91660420337107e-310,6.91660420337897e-310,6.91660420338688e-310,0.78381047,6.91660420340269e-310,6.91660420341059e-310,0.048081597,0.976263051,0.947407512
6.91660420344221e-310,1,6.91660420345802e-310,6.91660420346593e-310,6.91660420347383e-310,6.91660420348174e-310,6.91660420348964e-310,0.783069959,6.91660420350545e-310,6.91660420351336e-310,0.018603066,0.975392679,0.948568289
6.91660420314498e-310,0.995107621,6.91660420316079e-310,6.9166042031687e-310,6.9166042031766e-310,6.91660420318451e-310,6.91660420319241e-310,0.782718588,6.91660420320822e-310,6.91660420321613e-310,0.007193874,0.9757089,0.94882972
6.91660420324775e-310,0.984163047,6.91660420326356e-310,6.91660420327146e-310,6.91660420327937e-310,6.91660420328727e-310,6.91660420329518e-310,0.781644143,6.91660420331099e-310,6.91660420331889e-310,0.003163765,0.976805245,0.948111791
6.91660420295052e-310,0.979509527,6.91660420296633e-310,6.91660420297423e-310,6.91660420298214e-310,6.91660420299004e-310,6.91660420299795e-310,0.780380397,6.91660420301376e-310,6.91660420302166e-310,0.001575442,0.978986183,0.947115734
6.91660420305328e-310,0.978185449,6.91660420306909e-310,6.916604203077e-310,6.9166042030849e-310,6.91660420309281e-310,6.91660420310071e-310,0.781443024,6.91660420311652e-310,6.91660420272443e-310,0.000851825,0.981998545,0.946126982
6.91660420275605e-310,0.972278886,6.91660420277186e-310,6.91660420277977e-310,6.91660420278767e-310,6.91660420279558e-310,6.91660420280348e-310,0.781701218,6.91660420281929e-310,6.9166042028272e-310,0.000531218,0.98520893,0.944870644
6.91660420285882e-310,0.96293492,6.91660420287463e-310,6.91660420288253e-310,6.91660420289044e-310,6.91660420289834e-310,6.91660420290625e-310,0.78177353,6.91660420252206e-310,6.91660420252997e-310,0.00033209,0.988659162,0.943485039
6.91660420256159e-310,0.95355824,6.9166042025774e-310,6.9166042025853e-310,6.91660420259321e-310,6.91660420260111e-310,6.91660420260902e-310,0.780064535,6.91660420262483e-310,6.91660420263273e-310,0.000194334,0.992331977,0.941894052
6.91660420266436e-310,0.938134944,6.91660420268017e-310,6.91660420268807e-310,6.91660420269598e-310,6.91660420270388e-310,6.91660420271179e-310,0.777591823,6.9166042023276e-310,6.91660420233551e-310,0.000220804,0.994804634,0.942445527
6.91660420236713e-310,0.924777929,6.91660420238294e-310,6.91660420239084e-310,6.91660420239875e-310,6.91660420240665e-310,6.91660420241456e-310,0.770831803,6.91660420243037e-310,6.91660420243827e-310,0.000226309,0.99589809,0.943274219
