"wl","fwhm","qb"
1904.9347,12.725526,1
1914.3015,11.897087,1
1923.3857,12.184628,1
1932.2599,11.810174,1
1941.1107,11.953557,1
1949.9008,11.727077,1
1958.6244,11.549416,1
1967.3418,11.735335,0
1976.013,11.573802,0
1984.853,11.815879,0
1993.5482,11.40911,0
2002.1106,11.539112,0
2010.6614,11.387559,0
2019.3214,11.433579,0
2027.7267,11.25816,0
2036.2607,11.423655,0
2044.6809,11.128364,0
2053.0078,11.170842,0
2061.3787,11.098422,0
2069.7957,11.263509,0
2077.9915,11.092496,0
2086.3823,11.204863,0
2094.6252,11.016215,0
2102.8213,11.008936,0
2111.039,10.974517,0
2119.2314,10.960912,0
2127.3372,10.839494,0
2135.5103,10.904037,0
2143.4656,10.710894,0
2151.3862,10.727883,0
2159.564,10.979726,0
2167.4849,10.405291,0
2175.3442,10.818141,0
2183.4202,10.42951,0
2191.1003,10.534756,0
2199.1353,10.707573,0
2206.843,10.253851,0
2214.625,10.568967,0
2222.4263,10.31996,0
2230.0076,10.489971,0
2237.904,10.470257,0
2245.4485,10.248984,0
2253.1104,10.353415,0
2260.8665,10.397237,0
2268.2883,10.105657,0
2276.0537,10.39185,0
2283.4934,9.950322,0
2290.8267,10.220057,0
2298.6094,10.140627,0
2305.7227,9.81789,0
2313.2007,10.38666,0
2320.8955,9.861345,0
2327.8242,9.873425,0
2335.5264,10.234986,0
2342.8228,9.733903,1
2349.7915,9.741749,1
2357.2937,10.133815,1
2364.5945,9.642411,1
2371.5522,9.70783,1
2378.771,9.828164,1
2386.0618,9.870838,1
2393.0388,9.448557,1
2400.036,9.842932,1
2407.6045,9.833664,1
2414.3567,9.114236,1
2421.2373,9.907518,1
2428.6677,9.633436,1
2435.5442,9.609921,1
2442.403,8.92421,1
2449.1423,9.60746,1
2456.5857,9.568544,1
2463.0303,9.059477,1
2469.6272,9.328547,1
2477.055,9.811145,1
2483.793,9.122717,1
2490.2192,9.218007,1
2497.1155,9.728999,1
