"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660421427529e-310,0.965702943,6.9166042142911e-310,6.91660421429901e-310,6.91660421430691e-310,6.91660421431482e-310,6.91660421432272e-310,0.7082695419,6.91660421433853e-310,6.91660421434644e-310,0.002399545,0.98058868,0.82859933
6.91660421437806e-310,0.9583200299,6.91660421439387e-310,6.91660421440177e-310,6.91660421440968e-310,6.91660421441758e-310,6.91660421442549e-310,0.7015720506,6.9166042144413e-310,6.9166042144492e-310,0.001125292,0.980912334,0.836721896
6.91660421448557e-310,0.9540506383,6.91660421450138e-310,6.91660421450928e-310,6.91660421451719e-310,6.91660421452509e-310,6.916604214533e-310,0.6992453214,6.91660421454881e-310,6.91660421455671e-310,0.000545136,0.981411503,0.844443431
6.91660421458833e-310,0.9517826841,6.91660421460414e-310,6.91660421461205e-310,6.91660421461995e-310,6.91660421462786e-310,6.91660421463576e-310,0.7009376178,6.91660421465157e-310,6.91660421466422e-310,0.000350108,0.981243863,0.851107219
6.91660421469584e-310,0.9569972154,6.91660421471165e-310,6.91660421471956e-310,6.91660421472746e-310,6.91660421473537e-310,6.91660421474327e-310,0.706927327,6.91660421475908e-310,6.91660421476699e-310,0.000176863,0.980705072,0.853252319
6.91660421479861e-310,0.9655651453,6.91660421481442e-310,6.91660421482232e-310,6.91660421483023e-310,6.91660421483813e-310,6.91660421484604e-310,0.718240007,6.91660421486659e-310,6.9166042148745e-310,0.000218748,0.980376964,0.854746271
6.91660421490612e-310,0.9770513968,6.91660421492193e-310,6.91660421492983e-310,6.91660421493774e-310,6.91660421494564e-310,6.91660421495355e-310,0.7312463431,6.91660421496936e-310,6.91660421497726e-310,0.000196998,0.981066319,0.85617419
6.91660421500888e-310,0.9770957394,6.91660421502469e-310,6.9166042150326e-310,6.9166042150405e-310,6.91660421504841e-310,6.91660421505631e-310,0.7484061018,6.91660421507687e-310,6.91660421508477e-310,0.0001058,0.982735565,0.857820928
6.91660421511639e-310,0.9743660552,6.9166042151322e-310,6.91660421514011e-310,6.91660421514801e-310,6.91660421515592e-310,6.91660421516382e-310,0.7681854102,6.91660421517963e-310,6.91660421518754e-310,5.9528e-05,0.985121995,0.859531818
6.91660421521916e-310,0.9590318342,6.91660421523497e-310,6.91660421524287e-310,6.91660421525078e-310,6.91660421525868e-310,6.91660421527133e-310,0.7839480656,6.91660421528714e-310,6.91660421529504e-310,5.1435e-05,0.987806954,0.861459829
