"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
4.70778031740338e-05,0.00015793509373907,3.81348618248012e-05,2.20606602852058e-06,4.34332332588383e-06,2.20254628402472e-06,0.00159954559057951,0.0129142859950662,0.000158699971507303,0.000159283299581148,0.000270284217549488,0.0133682386949658,0.830557286739349,8.10733108664863e-05,0.000172569489222951,0.000273469748208299,0.000285857007838786,0.000289090094156563,0.00021820780239068,0.000180283939698711,4.76734967378434e-05
7.28215891285799e-05,0.000254107697401196,5.94362645642832e-05,3.11059920932166e-06,6.30207659924054e-06,3.10485211230116e-06,0.00269538466818631,0.0215895473957062,0.000254906975897029,0.000255882041528821,0.000482196861412376,0.0223527941852808,0.915546000003815,0.000135025009512901,0.000276403501629829,0.000426506681833416,0.000444196339230984,0.000449688726803288,0.000343781401170418,0.000287507951725274,7.36329093342647e-05
0.000111651643237565,0.000403902260586619,9.1830785095226e-05,4.36871505371528e-06,9.09936079551699e-06,4.35955007560551e-06,0.00444722687825561,0.0349178053438664,0.00040467461803928,0.000406283099437133,0.000841950066387653,0.036152396351099,0.960547089576721,0.000221881418838166,0.000437233247794211,0.00065736856777221,0.000682202633470297,0.000691358058247715,0.000535226718056947,0.000453008455224335,0.000112732726847753
0.000169664053828456,0.000634133408311755,0.000140633288538083,6.11141012996086e-06,1.30734770209529e-05,6.09705239185132e-06,0.00718163792043924,0.0546061135828495,0.000634829339105636,0.000637442339211702,0.00143932329956442,0.0565249286592007,0.98218560218811,0.000359712692443281,0.000683000078424811,0.00100116094108671,0.00103540404234082,0.00105038227047771,0.00082333676982671,0.000705109792761505,0.000171068488270976
0.000255504361120984,0.000983231468126178,0.00021345452114474,8.51529694045894e-06,1.86900888365926e-05,8.49317166284891e-06,0.0113461846485734,0.0825325772166252,0.000983863254077733,0.00098804896697402,0.00240842066705227,0.0853957608342171,0.994187355041504,0.000575270561967045,0.0010534442262724,0.00150644744280726,0.00155276595614851,0.00157684169244021,0.00125123979523778,0.00108401058241725,0.000257273204624653
0.000381288409698755,0.00150530051905662,0.000321063387673348,1.18173666123766e-05,2.6586136300466e-05,1.17837371362839e-05,0.0175307188183069,0.120516538619995,0.00150606781244278,0.00151266099419445,0.00394004955887795,0.124614164233208,0.99989914894104,0.000907454814296216,0.00160410057287663,0.00223925220780075,0.00230062776245177,0.00233865366317332,0.00187829253263772,0.00164575653616339,0.000383425183827058
0.000563781592063606,0.00227512000128627,0.000478510948596522,1.63340500876075e-05,3.76278912881389e-05,1.62836968229385e-05,0.0264800656586885,0.169984504580498,0.00227660615928471,0.0022868188098073,0.00629761628806591,0.17560575902462,0.997468948364258,0.00141176965553314,0.00241115409880877,0.00328772561624646,0.00336723844520748,0.00342628848738968,0.00278472481295466,0.00246706348843873,0.000566217873711139
0.00082589453086257,0.00339404889382422,0.000706569757312536,2.24859122681664e-05,5.2985215006629e-05,2.24114082811866e-05,0.0390899255871773,0.231574222445488,0.00339755229651928,0.00341312098316848,0.00982928462326527,0.238960206508636,0.988878011703491,0.00216588890179992,0.00357713736593723,0.00476732198148966,0.00486780097708106,0.00495795346796513,0.00407695770263672,0.00365095282904804,0.000828434247523546
0.00119852647185326,0.00499671371653676,0.0010335388360545,3.08290618704632e-05,7.42286792956293e-05,3.071989340242e-05,0.056377436965704,0.304759353399277,0.00500477524474263,0.00502809463068843,0.014974013902247,0.314048051834106,0.980971932411194,0.00327633321285248,0.00523726316168904,0.00682633370161057,0.00694975769147277,0.00708512030541897,0.00589332776144147,0.00533300032839179,0.00120076269377023
0.00172277947422117,0.00725817028433085,0.00149744236841798,4.20949472754728e-05,0.0001034526139847,4.19367934227921e-05,0.0794211328029633,0.387598305940628,0.0072752982378006,0.00730961514636874,0.0222610179334879,0.3987777531147,0.978096544742584,0.00488614989444614,0.00756617542356253,0.0096511822193861,0.00979786552488804,0.00999771803617477,0.00840998999774456,0.0076878797262907,0.00172398262657225
0.00245258747600019,0.0104008549824357,0.00214866525493562,5.72411518078297e-05,0.000143430617754348,5.70138654438779e-05,0.109262123703957,0.476735860109329,0.0104345511645079,0.0104841850697994,0.0322999469935894,0.489607661962509,0.977133512496948,0.00718310009688139,0.0107843764126301,0.0134710622951388,0.0136384656652808,0.0139287952333689,0.0118462247774005,0.0109355999156833,0.0024515287950635
0.00345766637474298,0.0147006260231137,0.0030529978685081,7.75141816120595e-05,0.000197811008547433,7.71902705309913e-05,0.146773025393486,0.567712426185608,0.0147627610713243,0.0148332677781582,0.0456839241087437,0.58189207315445,0.972014009952545,0.0104080187156796,0.015163779258728,0.018561152741313,0.0187425389885902,0.0191572662442923,0.0164687186479568,0.015346696600318,0.00345240416936576
0.00482676038518548,0.0204906910657883,0.00429501663893461,0.000104528189694975,0.00027135934215039,0.00010407051013317,0.192501962184906,0.655578792095184,0.0205992795526981,0.0206976011395454,0.0629565119743347,0.670532166957855,0.96202939748764,0.0148620065301657,0.0210310108959675,0.0252431239932776,0.025425648316741,0.0260084662586451,0.0225933119654655,0.0212451107800007,0.00481434864923358
0.00667105382308364,0.028162220492959,0.00598176382482052,0.000140363277751021,0.00037025596247986,0.000139720839797519,0.246516868472099,0.73569917678833,0.0283432621508837,0.0284779313951731,0.0845224335789681,0.750810623168945,0.95285302400589,0.0209113825112581,0.0287676695734262,0.0338824987411499,0.034045398235321,0.0348510481417179,0.030583817511797,0.0290079824626446,0.00664719054475427
