"band1","band2","band3","band4","band5","band6","band7","band8","band9"
0,0,0,0,0,0,0.989132,0,0
0,0,0,0,0,0,0.984536,0,0
0,0,0,0,0,0,0.978024,0,0
0,0,0,0,0,0,0.975019,0,0
0,0,0,0,0,0,0.972794,0,0
0,0,0,0,0,0,0.974168,0,0
0,0,0,0,0,0,0.97654,0,0
0,0,0,0,0,0,0.976199,0,0
0,0,0,0,0,0,0.975206,0,0
0,0,0,0,0,0,0.974409,0,0
0,0,0,0,0,0,0.973662,0,0
0,0,0,0,0,0,0.967502,0,0
0,0,0,0,0,0,0.959895,0,0
0,0,0,0,0,0,0.956943,0,0
0,0,0,0,0,0,0.955095,0,0
0,0,0,0,0,0,0.955085,0,0
0,0,0,0,0,0,0.955588,0,0
0,0,0,0,0,0,0.947195,0,0
0,0,0,0,0,0,0.93665,0,0
0,0,0,0,0,0,0.922405,0,0
0,0,0,0,0,0,0.907109,0,0
0,0,0,0,0,0,0.89494,0,0
0,0,0,0,0,0,0.883588,0,0
0,0,0,0,0,0,0.855489,0,0
0,0,0,0,0,0,0.823876,0,0
0,0,0,0,0,0,0.78488,0,0
0,0,0,0,0,0,0.744025,0,0
0,0,0,0,0,0,0.69852,0,0
0,0,0,0,0,0,0.651673,0,0
0,0,0,0,0,0,0.602539,0,0
0,0,0,0,0,0,0.552647,0,0
0,0,0,0,0,0,0.502693,0,0
0,0,0,0,0,0,0.452698,0,0
0,0,0,0,0,0,0.403993,0,0
0,0,0,0,0,0,0.355569,0,0
0,0,0,0,0,0,0.315712,0,0
0,0,0,0,0,0,0.27826,0,0
0,0,0,0,0,0,0.244645,0,0
0,0,0,0,0,0,0.212213,0,0
0,0,0,0,0,0,0.186151,0,0
0,0,0,0,0,0,0.161749,0,0
0,0,0,0,0,0,0.141435,0,0
0,0,0,0,0,0,0.122015,0,0
0,0,0,0,0,0,0.106531,0,0
0,0,0,0,0,0,0.092029,0,0
0,0,0,0,0,0,0.080268,0,0
0,0,0,0,0,0,0.069276,0,0
0,0,0,0,0,0,0.060703,0,0
0,0,0,0,0,0,0.052702,0,0
0,0,0,0,0,0,0.046332,0,0
0,0,0,0,0,0,0.040405,0,0
0,0,0,0,0,0,0.035634,0,0
0,0,0,0,0,0,0.031213,0,0
0,0,0,0,0,0,0.027516,0,0
0,0,0,0,0,0,0.024,0,0
0,0,0,0,0,0,0.021262,0,0
0,0,0,0,0,0,0.018688,0,0
0,0,0,0,0,0,0.016562,0,0
0,0,0,0,0,0,0.014545,0,0
0,0,0,0,0,0,0.01293,0,0
0,0,0,0,0,0,0.011426,0,0
0,0,0,0,0,0,0.010155,0,0
0,0,0,0,0,0,0.008959,0,0
0,0,0,0,0,0,0.007992,0,0
0,0,0,0,0,0,0.007088,0,0
0,0,0,0,0,0,0.006348,0,0
0,0,0,0,0,0,0.005643,0,0
0,0,0,0,0,0,0.005019,0,0
0,0,0,0,0,0,0.004415,0,0
0,0,0,0,0,0,0.003903,0,0
0,0,0,0,0,0,0.003421,0,0
0,0,0,0,0,0,0.003025,0,0
0,0,0,0,0,0,0.002651,0,0
0,0,0,0,0,0,0.00234,0,0
0,0,0,0,0,0,0.002047,0,0
0,0,0,0,0,0,0.001795,0,0
0,0,0,0,0,0,0.001554,0,0
0,0,0,0,0,0,0.001345,0,0
0,0,0,0,0,0,0.001145,0,0
0,0,0,0,0,0,0.000974,0,0
0,0,0,0,0,0,0.000811,0,0
0,0,0,0,0,0,0.00068,0,0
0,0,0,0,0,0,0.00056,0,0
0,0,0,0,0,0,0.00044,0,0
0,0,0,0,0,0,0.00032,0,0
0,0,0,0,0,0,0.000217,0,0
0,0,0,0,0,0,0.000119,0,0
0,0,0,0,0,0,2.8e-05,0,0
0,0,0,0,0,0,-6.2e-05,0,0
0,0,0,0,0,0,-0.000134,0,0
0,0,0,0,0,0,-0.000202,0,0
0,0,0,0,0,0,-0.000263,0,0
0,0,0,0,0,0,-0.000322,0,0
