"band1","band2","band3","band4","band5","band6"
506,596,702,842,1693,2182
507,597,703,843,1695,2183
508,598,704,844,1697,2185
509,599,705,845,1699,2187
510,600,710,846,1701,2189
511,601,715,847,1703,2191
512,602,720,848,1705,2193
513,603,725,849,1707,2195
514,604,730,850,1709,2197
515,605,740,851,1711,2199
516,606,nan,852,1714,2201
517,607,nan,853,1716,2203
518,608,nan,854,1718,2205
519,609,nan,855,1720,2207
520,610,nan,856,1722,2209
521,611,nan,857,1724,2210
522,612,nan,858,1725,2212
523,613,nan,859,1726,2214
524,614,nan,860,1728,2216
525,615,nan,861,1730,2218
526,616,nan,862,1732,2220
527,617,nan,863,1734,2222
528,618,nan,864,1736,2223
529,619,nan,865,1738,2226
530,620,nan,866,1740,2227
531,621,nan,867,1742,2229
532,622,nan,868,1744,2231
533,623,nan,869,1747,2233
534,624,nan,870,1749,2235
535,625,nan,871,1751,2237
536,626,nan,872,1753,2239
537,627,nan,873,1755,2241
538,628,nan,874,1757,2242
539,629,nan,875,1759,2244
540,630,nan,876,1761,2246
541,635,nan,877,1763,2248
542,640,nan,878,1765,2250
543,645,nan,879,1767,2252
544,650,nan,880,1769,2254
545,nan,nan,881,1771,2256
546,nan,nan,882,1773,2258
547,nan,nan,883,1775,2259
548,nan,nan,884,1777,2261
549,nan,nan,885,1779,2263
550,nan,nan,886,1781,2265
551,nan,nan,887,1783,2267
552,nan,nan,888,1785,2269
nan,nan,nan,889,1787,2271
nan,nan,nan,890,1789,2273
nan,nan,nan,891,1791,2274
nan,nan,nan,892,1793,2276
nan,nan,nan,893,1795,2278
nan,nan,nan,894,1797,2280
nan,nan,nan,895,1799,2282
nan,nan,nan,896,1801,2284
nan,nan,nan,897,1803,2286
nan,nan,nan,898,1805,2288
nan,nan,nan,899,1807,2290
nan,nan,nan,900,1809,2292
nan,nan,nan,901,1811,2293
nan,nan,nan,902,1813,2295
nan,nan,nan,903,1815,2297
nan,nan,nan,904,1820,2299
nan,nan,nan,905,1825,2301
nan,nan,nan,906,1830,2303
nan,nan,nan,907,1840,2305
nan,nan,nan,908,1850,2307
nan,nan,nan,909,1860,2309
nan,nan,nan,910,1870,2310
nan,nan,nan,911,1880,2312
nan,nan,nan,912,1890,2314
nan,nan,nan,913,1888,2316
nan,nan,nan,914,1889,2318
nan,nan,nan,915,nan,2320
nan,nan,nan,920,nan,2322
nan,nan,nan,925,nan,2323
nan,nan,nan,930,nan,2325
nan,nan,nan,935,nan,2327
nan,nan,nan,940,nan,2329
nan,nan,nan,945,nan,2331
nan,nan,nan,nan,nan,2333
nan,nan,nan,nan,nan,2335
nan,nan,nan,nan,nan,2337
nan,nan,nan,nan,nan,2339
nan,nan,nan,nan,nan,2340
nan,nan,nan,nan,nan,2342
nan,nan,nan,nan,nan,2344
nan,nan,nan,nan,nan,2346
nan,nan,nan,nan,nan,2348
nan,nan,nan,nan,nan,2350
nan,nan,nan,nan,nan,2352
nan,nan,nan,nan,nan,2354
nan,nan,nan,nan,nan,2355
nan,nan,nan,nan,nan,2357
nan,nan,nan,nan,nan,2359
nan,nan,nan,nan,nan,2361
nan,nan,nan,nan,nan,2363
nan,nan,nan,nan,nan,2365
nan,nan,nan,nan,nan,2367
nan,nan,nan,nan,nan,2369
nan,nan,nan,nan,nan,2371
nan,nan,nan,nan,nan,2373
nan,nan,nan,nan,nan,2374
nan,nan,nan,nan,nan,2376
nan,nan,nan,nan,nan,2378
nan,nan,nan,nan,nan,2380
nan,nan,nan,nan,nan,2382
nan,nan,nan,nan,nan,2384
nan,nan,nan,nan,nan,2386
nan,nan,nan,nan,nan,2390
nan,nan,nan,nan,nan,2395
nan,nan,nan,nan,nan,2400
