"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"a1taup",1.25958704948425,1.12358903884888,0.979533970355988,0.800750017166138,0.746402025222778,0.699598014354706,0.651328980922699,0.602716982364655,0.572722017765045,0.513397991657257,0.32378301024437,0.260475009679794,0.156650006771088
"wo",0.900259017944336,0.898711979389191,0.89146101474762,0.884339988231659,0.877709984779358,0.868700981140137,0.858868002891541,0.84851998090744,0.84144401550293,0.82684201002121,0.768022000789642,0.752593994140625,0.761528015136719
"gc",0.642989993095398,0.639671981334686,0.636605024337769,0.631870985031128,0.630738973617554,0.631076991558075,0.631470024585724,0.631986021995544,0.63229101896286,0.633799016475677,0.64190399646759,0.655261993408203,0.733603000640869
"a0P",6.73858070373535,6.75779104232788,6.76027202606201,6.74578094482422,6.72062492370605,6.67412710189819,6.62412595748901,6.5664701461792,6.53276920318604,6.3914475440979,5.80968046188354,5.49187231063843,4.5977725982666
"a1P",-0.189965978264809,-0.189867734909058,-0.189092695713043,-0.187558725476265,-0.186347112059593,-0.184465557336807,-0.18244457244873,-0.180167719721794,-0.178814560174942,-0.173867762088776,-0.153523609042168,-0.14528551697731,-0.129000410437584
"a2P",0.00208293576724827,0.0020744118373841,0.00205592554993927,0.00202715420164168,0.00200823997147381,0.001980657922104,0.00195106060709804,0.00191818561870605,0.00189845368731767,0.00183264724910259,0.00156210106797516,0.00147761846892536,0.00139359582681209
"a3P",-1.02918402262731e-05,-1.02065705505083e-05,-1.00569586720667e-05,-9.85140559350839e-06,-9.72747784544481e-06,-9.55256928136805e-06,-9.3649923655903e-06,-9.15866075956728e-06,-9.03394266060786e-06,-8.64622143126326e-06,-7.05232969266945e-06,-6.64881508782855e-06,-6.6654097281571e-06
"a4P",1.94325124880379e-08,1.91785698433478e-08,1.87688122821328e-08,1.82571664453235e-08,1.79629040530926e-08,1.75565340043704e-08,1.71207918953087e-08,1.66451989969119e-08,1.63559388255408e-08,1.55125459144756e-08,1.20460423858049e-08,1.12820686126724e-08,1.19615322091704e-08
"Rest1",-0.0143569996580482,-0.00908400025218725,-0.00451799994334579,-0.00155599997378886,-0.00103399995714426,-0.000614000018686056,-0.000345999986166134,-0.000199999994947575,-0.000146000005770475,0.000262999994447455,0.000182999996468425,-8.29999989946373e-05,-0.000184000004082918
"Rest2",-0.0306090004742146,-0.0244239997118711,-0.0169399995356798,-0.00966999959200621,-0.00788700021803379,-0.0066249999217689,-0.00540299993008375,-0.00432900013402104,-0.00360599998384714,-0.00271599995903671,-0.000623999978415668,-0.000315999990561977,-0.000395000010030344
"Rest3",-0.0203159991651773,-0.0191789995878935,-0.0159089993685484,-0.0110259996727109,-0.00957500003278255,-0.00853000022470951,-0.00743000023066998,-0.00642200000584126,-0.00562800001353025,-0.00449200021103024,-0.00124000001233071,-0.000662999984342605,-0.00130999996326864
"Rest4",-0.00271499995142221,-0.00318200001493096,-0.00342099997214973,-0.00323299993760884,-0.00310799991711974,-0.00303400005213916,-0.00289999996311963,-0.00274799996986985,-0.00254300003871322,-0.00258200010284781,-0.00175799999851733,-0.000714999972842634,0.00232700002379715
"Resr1",-0.00847200024873018,-0.00309800007380545,-0.000954999995883554,-0.000199000001884997,-0.000117000003228895,-7.999999797903e-05,-4.8999998398358e-05,-2.70000000455184e-05,-1.80000006366754e-05,-1.29999998534913e-05,9.99999997475243e-07,-3.60000012733508e-05,-1.49999996210681e-05
"Resr2",0.0123410001397133,0.000326999987009913,-0.00441200006753206,-0.00465200003236532,-0.00427199993282557,-0.00388800003565848,-0.00353000010363758,-0.00316100008785725,-0.00271999998949468,-0.00222399993799627,-0.00140299997292459,-0.0207529999315739,-0.0294259991496801
"Resr3",0.0195940006524324,0.022817000746727,0.024957999587059,0.0264170002192259,0.0264989994466305,0.0280729997903109,0.0294039994478226,0.0296700000762939,0.0268409997224808,0.0309239998459816,0.0836139991879463,4.8784441947937,23.1325397491455
"Resa1",-0.0112229995429516,-0.010181000456214,-0.00863699987530708,-0.00678700022399426,-0.00605100020766258,-0.00531999999657273,-0.00461200019344687,-0.00394200021401048,-0.00355100003071129,-0.00275300000794232,-0.000878999999258667,-0.000459000002592802,-3.9999998989515e-05
"Resa2",-0.0357099995017052,-0.0364979989826679,-0.0361649990081787,-0.0353320017457008,-0.0342729985713959,-0.0327269993722439,-0.0311110001057386,-0.0293850004673004,-0.0283589996397495,-0.0251909997314215,-0.0151399997994304,-0.0113249998539686,-0.00468399981036782
"Resa3",-0.0279089994728565,-0.0323720015585423,-0.0369970016181469,-0.0446930006146431,-0.0464180000126362,-0.0471189990639687,-0.0478670001029968,-0.0485740005970001,-0.0490619987249374,-0.0483479984104633,-0.0433459989726543,-0.0392669998109341,-0.0345880016684532
"Resa4",-0.00683100009337068,-0.00892600044608116,-0.0118150003254414,-0.0176049992442131,-0.0197219997644424,-0.0215380005538464,-0.023700000718236,-0.0262119993567467,-0.0279959999024868,-0.0312709994614124,-0.0471349991858006,-0.0559229999780655,-0.100777998566628
